Tool,GitHub URL,Layer,What it does,Conflict / Overlap,Runtime,Requirements,Licence,Stars (15 Jul 2026),Trend (30d),Activity (Issues / PRs),Activity Status,Verdict,Decision Rule
ctxharness,https://github.com/FlorianBruniaux/ctxharness,Config stack audit & optimisation,"CLI/CI tool that validates AI instruction files (CLAUDE.md, AGENTS.md, .cursorrules) for drift and quality. L1 fact drift: version numbers in docs vs actual package.json/Cargo.toml/go.mod/Prisma schema (20 extractors). L2 instruction quality: vague language detection, positive/negative ratio, token budget with @file.md chain resolution. L3 context assembly: hook validation, skill frontmatter checks, rule glob validity, coverage ratio. ctxharness fix --apply auto-patches stale versions. ctxharness score gives 0-100 health score. ctxharness diff blocks CI on regression. GitHub Action available. Stack presets for T3, Next.js, Python, Go, Rust. v0.4.1. MIT. Made by RTK author.","No overlap with token-optimizer (complementary: token-optimizer finds unused/oversized skills; ctxharness finds factually stale content). No MCP server — CLI/CI tool only, zero agent-side conflicts.",Node.js (TypeScript),Node.js 18+; no model calls; npx ctxharness or npm install -g ctxharness,MIT,18,▲ +350%,"2 forks, 3 releases, v0.4.1 May 2026, 58 commits, solo dev — authored by RTK maintainer",🟡 Active (solo),"Add — unique drift detection, complements token-optimizer","Stack alongside token-optimizer: token-optimizer audits what is loaded, ctxharness audits whether what is loaded is still true. npx ctxharness scan CLAUDE.md for zero-config discovery. npx ctxharness init + ctxharness doctor for full enforcement. Add to CI: ctxharness diff exits 1 on score regression. 4 stars but authored by RTK maintainer (11k stars) — highly credible."
tokentelemetry,https://github.com/VasiHemanth/tokentelemetry,Config stack audit,"Local, zero-config observability dashboard (Next.js frontend + FastAPI backend) reading log files that AI coding agents already write to disk — no SDK, no instrumentation, no cloud account. Unified dashboard: token usage/cost per session-model-project, tool-call waterfall traces, reasoning chain capture, plan-mode capture, per-model efficiency comparison, per-project budget limits (observational, never blocks agents), cost anomaly detection (flags silent reasoning-token waste). Dedicated Hermes Agent dashboard (Nous Research autonomous-agent framework): gateway health, cron jobs, skills, memory, subagent delegation traces across 38 source platforms — the only tool in this comparison covering a non-coding autonomous agent. Reads logs from 10 coding agents: Claude Code, Codex CLI, Gemini CLI, Cursor, GitHub Copilot, Qwen CLI, OpenCode, Vibe, Antigravity, Grok Build. Separate Hermes Dashboard plugin for embedding as a tab. 67 commits, no formal releases yet.","Different kind of tool than token-optimizer/ctxharness (Config stack audit layer): purely observational/read-only, no config modification or active fixing, whereas those tools actively audit and patch. Complementary — use TokenTelemetry to see where tokens go, then token-optimizer/ctxharness to fix it. No MCP server, no MCP tool name conflicts.",TypeScript (66.3%) + Python (26.9%),"Node.js 18+, Python 3.9+, git. Zero-LLM — pure local log-file parsing, no API key needed. ⚠ Anonymous product-usage telemetry on by default (content-free: pages/features used, OS/CPU arch, approximate country, generated session id — never code/prompts/costs/paths). Opt out via Settings → Usage & privacy, or DO_NOT_TRACK=1 / TT_NO_TELEMETRY=1 env vars. curl -fsSL https://tokentelemetry.com/install.sh | bash.",MIT,232,▲ +57%,"3 forks (per direct fetch; grown further per search), 67 commits, no releases published, very rapid feature growth in under 2 months of existence",🟢 Very active,"Add — unique cross-agent observability breadth, purely local","⚠ Direct page fetch showed a stale snapshot (20 stars, older README claiming ""no telemetry""); live Issues page confirms 148 stars and the current shipped version explicitly discloses anonymous opt-out telemetry — the ""no telemetry"" claim in the fetched README is no longer accurate as a blanket statement (Code-Beats-Docs catch: verify against current shipped behaviour, not a cached README). Genuinely unique: only tool here unifying observability across 10 coding agents plus a non-coding autonomous agent (Hermes). Read-only — never modifies agent logs or config. RepoRadar automated scoring: Shipping Velocity 100/100, Activity Recency 100/100, but Production Readiness 26/100 and Project Maturity 32/100 — moving fast, still early."
Sponsio,https://github.com/SponsioLabs/Sponsio,Agent safety enforcement,"Runtime contract enforcement for AI agents. Write rules in plain English; Sponsio compiles to LTL then DFA and checks every tool call in <0.01ms with zero LLM cost. Pre-built bundles covering all 10 OWASP Agentic Top 10 risks. Blocks credential-scope abuse, destructive API calls, runaway loops. Replays real incidents (PocketOS prod-DB wipe, CVE-2025-55284). Framework-agnostic: LangChain, Claude Agent, OpenAI Agents, MCP, CrewAI, Vercel AI. Python + TypeScript SDK. v0.1.0 alpha.",Out of scope for context reduction — different problem (agent safety vs token bloat). No overlap with any existing layer. Listed as separate layer for completeness.,Python + TypeScript,Python 3.9+ or Node.js 18+; no model calls; pip install sponsio or npm install sponsio,Apache-2.0,465,▲ +16%,"14 open issues, 5 open PRs, v0.1.0 alpha, active development",🔴 Early,Watch — out of scope but unique,"Agent safety tool, not a context reduction tool. Belongs in a separate AI agent safety comparison (alongside Guardrails AI, Salus YC W26). Add if you need runtime enforcement of destructive-action gates (prod DB deletes, large transfers). Apache-2.0, pip install sponsio."
jdatamunch-mcp,https://github.com/jgravelle/jdatamunch-mcp,Tabular data retrieval,"Indexes CSV/Excel files once into SQLite; agents query column profiles, filtered rows, and server-side aggregations instead of loading entire files. 9 MCP tools: index_local, describe_dataset, describe_column, search_data, get_rows (10 filter operators), aggregate (GROUP BY in SQLite), sample_rows, list_datasets, get_session_stats. Token savings telemetry per call. 25,333x reduction benchmark on 1M-row CSV (111M→3,849 tokens, measured). Incremental re-index on unchanged files (hash check). v0.1.1.",⚠ index_local and list_datasets names clash with jdocmunch-mcp — agent cannot distinguish doc indexing from data indexing if both are loaded.,Python/pip,Python 3.10+; no model calls; uvx jdatamunch-mcp,Dual-use (free non-commercial; paid commercial),70,▲ +1650%,"0 forks, 2 releases, v0.1.1 Mar 2026, 13 commits, solo dev, brand new",🔴 Early,"Watch — too early, but genuinely unique layer","Only tool in this comparison addressing large CSV/Excel token bloat. 25,333x benchmark is reproducible (LAPD 1M-row dataset). Same dual-use licence as jCodemunch/jDocMunch — free for personal/OSS, commercial use requires paid licence. uvx jdatamunch-mcp to install. Revisit when community forks appear."
ark,https://github.com/atripati/ark,Agent runtime & context orchestration,"Go agent runtime kernel. Dynamically loads only 3-5 tools per task (99.9% reduction: 60,468 tokens raw → ~80 tokens). 6-signal weighted scoring: relevance (40%), success rate (30%), cost (-15%), latency (-5%), confidence (10%), memory bonus. Online learning persists across restarts (ark-memory.json). Adaptive execution: tool-not-found → load more; tool-misunderstood → upgrade schema; tool-crashed → swap. Decision-level cost attribution per step/tool/action. Grounding gate (zero hallucination across 30-run stress test). Safety: domain allowlist, write protection, dry-run. 67 tests, race detector clean. v0.7 current. Go 1.22+, Apache-2.0.",No overlap with existing tools — new layer (agent runtime). Most conceptually adjacent to Tool Search and mcpick (MCP defs layer) but operates at higher level: active 6-signal scoring vs passive schema deferral. v0.8 roadmap adds MCP server connector which will enable direct Claude Code integration.,Go,Go 1.22+; no model calls in core; uses your configured LLM provider via agent.yaml; go run ./cmd/ark,Apache-2.0,39,▲ +457%,"1 fork, 0 releases, 8 commits, v0.7 current, solo dev — brand new",🔴 Early,"Watch — new layer, not Claude Code-native yet",Not a Claude Code plugin today — standalone agent runtime requiring agent.yaml config. v0.8 roadmap adds MCP server connector enabling direct MCP stack integration. Most sophisticated tool scoring model in this comparison (6 signals including real dollar cost). Online learning unique. Revisit at v0.8 when MCP connector ships. go run ./cmd/ark demo-learn to see ranking in action.
headroom,https://github.com/headroomlabs-ai/headroom,Universal context compression middleware,"Compresses everything before it reaches the LLM: tool outputs, logs, RAG chunks, files, conversation history. 7 algorithms: SmartCrusher (JSON), CodeCompressor (AST), Kompress-base (custom HuggingFace model), image compression, CacheAligner (stabilises KV cache prefixes), IntelligentContext, CCR (reversible — originals stored locally, LLM retrieves on demand). 4 deployment modes: headroom wrap claude, proxy (port 8787, zero code changes), library, MCP server (headroom_compress, headroom_retrieve, headroom_stats). Cross-agent memory. headroom learn: mines failed sessions, writes to CLAUDE.md. 60B+ community tokens saved. v0.22.4. 152 releases. Ships RTK internally.",⚠ Subsumes multiple layers: ships RTK internally (remove RTK from stack if using headroom wrap); headroom learn overlaps openwolf cerebrum.md; cross-agent memory overlaps lean-ctx CCP and Bitloops; headroom_compress overlaps caveman. Do not run headroom alongside RTK + caveman + context-mode — triple redundancy.,Python + Rust,"⚠ Python 3.10+; Kompress-base model downloaded on first use (HuggingFace, ~100MB); [ml] extra required for model compression; ships RTK binary internally; no external API calls in default mode",Apache-2.0,59000,▲ +6%,"4k forks, 169 watching, 158 releases, v0.28.0 (29 Jun 2026), 1,829 commits — repo transferred from chopratejas/headroom to headroomlabs-ai org (same repository_id, confirmed same project). New ""Headroom for teams"" managed offering announced (hello@headroomlabs.ai), core stays Apache-2.0.",🟢 Hyper-active,Add — most comprehensive compression tool in this comparison,"⚠ MAJOR: 42k stars (7.5x jump since last recording). Now #1 most-starred universal compression tool. | If using headroom wrap claude: remove RTK, caveman, context-mode from stack (headroom handles all three). If using headroom mcp install only: run alongside RTK for shell output, caveman for structured memory compression. pip install ""headroom-ai[all]"" then headroom wrap claude. CacheAligner uniquely stabilises KV cache prefixes — provider cost savings on top of token savings. 60B+ tokens saved community leaderboard at headroomlabs.ai/dashboard."
faramesh-core,https://github.com/faramesh/faramesh-core,Agent safety enforcement,"Pre-execution governance engine. Sits between agent and tools; evaluates every tool call against FPL policy (PERMIT/DEFER/DENY) via 11-step deterministic pipeline with no LLM in the decision path. faramesh mcp wrap intercepts every MCP tools/call before it reaches the real server. Credential broker strips API keys and mints short-lived scoped credentials per permitted call. Kernel enforcement on Linux (seccomp-BPF, Landlock, netns). SPIFFE/SPIRE workload identity. Tamper-evident WAL with Ed25519 signing. 13 framework auto-patches (LangChain, CrewAI, AutoGen, Claude Code, MCP, OpenAI Agents, etc). Policy packs. v1.2.6. arXiv 2601.17744.","No overlap with context reduction tools — different problem. Complements Sponsio (both agent safety; faramesh is broader: credentials, kernel enforcement, SPIFFE, multi-agent delegation). Context reduction angle: replacing prompt-based guardrails in CLAUDE.md with deterministic enforcement frees tokens currently used for safety reminders.",Go + Python + TypeScript,Go binary; no model calls; brew install faramesh/tap/faramesh or go install. Faramesh Horizon is a paid tier above free Core.,MPL-2.0,95,▲ +102%,"11 forks, 8 releases, v1.2.6 Apr 2026, 206 commits, 2 open issues, company-backed (Faramesh Labs)",🟡 Active,Add — broader than Sponsio; complements context reduction indirectly,"Deterministic runtime enforcement of safety rules means you can remove those rules from CLAUDE.md, reclaiming prompt tokens. faramesh mcp wrap governs every MCP tools/call — zero code changes required. arXiv 2601.17744 for technical architecture. Faramesh Horizon is paid tier for advanced features."
awesome-second-brain,https://github.com/aristoapp/awesome-second-brain,Reference resource (curated list),"Curated comparison of second brain, AI memory, and knowledge systems. Covers Collect/Organize/Evolve/Use/Govern lifecycle. Compares Membase, OpenHuman, GBrain, Supermemory, Mem0/OpenMemory, Zep/Graphiti, Cognee, Khoj, Obsidian+AI bridge, ChatGPT Memory, Claude Projects, NotebookLM. Deep-dives: capability matrix, setup burden, agent activation channels, local vs cloud, personal vs team. 0 releases, 21 commits.",Reference list only — not installable. Covers many tools overlapping with personal knowledge retrieval and cross-session memory layers. Note bias toward Membase (aristoapp own product).,None (curated list),Not installable; no setup required,Apache-2.0,468,▲ +1100%,"9 forks, 21 commits, 0 releases, 3 contributors",🟡 Active,Reference only — not a tool,Not installable. Use as discovery resource for second-brain candidates. Maintained by aristoapp (Membase company) — cross-reference Membase recommendations against independent sources.
Awesome-AI-Memory,https://github.com/IAAR-Shanghai/Awesome-AI-Memory,Reference resource (curated list),"Bilingual (Chinese primary, English via README_en.md) continuously-updated curated knowledge base on AI/LLM/agent memory: long-term memory, reasoning, retrieval, memory-native system design. Covers research papers, engineering frameworks, system designs, evaluation benchmarks, real-world application practices. Maintained by IAAR-Shanghai (Institute for Advanced Algorithms Research, Shanghai) — an institutional AI research organization, not an anonymous account. 312 commits, no releases (rolling updates). Referenced by at least one other awesome-list as a primary source.","Reference list only — not installable. Broader scope than awesome-second-brain (research + benchmarks + systems vs personal-knowledge tools specifically). No disclosed commercial conflict of interest, unlike awesome-second-brain (aristoapp/Membase). Overlaps conceptually with the Agent memory persistence layer tools (mem0, cognee, claude-mem, TrueMemory, etc.) as a discovery resource for that category.",None (curated list),"Not installable; no setup required. Python 100% in repo is automation/update tooling, not the resource itself.",Apache-2.0,1100,▲ +10%,"94 forks, 17 watching, 312 commits, no releases, 1 open issue, 12 open PRs — actively maintained",🟢 Active,Reference only — not a tool,"Not installable. Broader and more institutionally credible than awesome-second-brain (real research institute maintainer vs disclosed-COI single company). ⚠ Note: the ""awesome AI memory"" niche is crowded — at least 4-5 competing curated lists exist (TeleAI-UAGI/Awesome-Agent-Memory, XiaomingX/awesome-ai-memory, danielrosehill/AI-Memory-Layers, topoteretes/awesome-ai-memory). This one appears among the more established and is cited by at least one other list as a source. Direct fetch did not surface the README body content itself (file tree/About only) — internal structure/rigor not independently verified beyond what the repo description states."
awesome-agent-vault,https://github.com/zriyansh/awesome-agent-vault,Reference resource (curated list),"Category map for agent credential management: vaults, proxies, identity layers, credential gateways. Five reader-intent buckets: Products (vaults/proxies you install), Integrations (how Claude Code/Codex/Cursor/LangChain etc. consume credentials today), Services (per-API recipes: Stripe, GitHub, Slack scoping guidance), Patterns (named recipes: lethal trifecta, just-in-time injection, subagent non-inheritance), Threat models (prompt-injection credential disclosure, shell history exposure, offline disk-image theft). Compatibility matrix across 10 agent platforms x 15 vault products. Curated by Authsome (agentrhq) — a credential-vault vendor whose own product is listed among direct competitors. CC0 1.0 (public domain). ""Last verified: 2026-05-27."" 5 commits.","Reference list only — not installable. Different topic from this comparison's core scope (credential/secrets management, not context/token reduction) — same adjacent-but-included treatment as Sponsio and faramesh-core in the Agent safety enforcement layer. faramesh-core (already in this comparison) appears as an entry in this list too, confirming the overlap.",None (curated list),Not installable; no setup required.,CC0-1.0,13,● flat,"0 forks, 5 commits, no releases, brand new — genuinely tiny but unusually well-structured",🟡 Active,"Reference only — not a tool; adjacent layer (agent credential security, not context reduction)","Not installable. Notably strong conflict-of-interest handling: maintainer's own product (Authsome) is listed alongside direct competitors with an explicit stated policy — ""Direct competitors of the maintainer get accepted on equal terms."" Stronger COI safeguard than most reference resources in this comparison. Use if evaluating how to hand credentials to Claude Code/Codex/Cursor safely — separate concern from token/context reduction."
awesome-harness-engineering,https://github.com/ai-boost/awesome-harness-engineering,Reference resource (curated list),"Comprehensive curated list for the entire discipline of AI agent harness engineering: the scaffolding (context delivery, tool interfaces, planning artifacts, verification loops, memory systems, sandboxes) surrounding an agent. Sections: Foundations (canonical essays from Anthropic/OpenAI/Google/Martin Fowler on what harness engineering is), Agent Loop, Planning & Task Decomposition, Context Delivery & Compaction (directly cites context-mode, headroom, codebase-memory-mcp — tools already in this comparison — plus many not yet assessed here: LLMLingua, Token Savior, Trellis, OpenViking, Mirage, dirac, MinishLab/semble), Tool Design, Skills & MCP, Permissions & Authorization, Memory & State (Letta/MemGPT, mem0, Zep, engram, Stash, TencentDB-Agent-Memory), Task Runners & Orchestration, Verification & CI, Observability, Debugging, Human-in-the-Loop, Reference Implementations, Security/Sandbox, Evals, Templates. Substantive one-paragraph annotation per entry, not bare links. 166 commits, 81 open PRs — very active community contribution.","Reference list only — not installable. Directly overlaps this comparison's entire scope rather than one layer, unlike awesome-second-brain or Awesome-AI-Memory. Several entries here (context-mode, headroom, codebase-memory-mcp, mem0) are already independently assessed in this comparison; this list surfaces a substantial number of additional candidate tools not yet evaluated here.",None (curated list),Not installable; no setup required.,CC0-1.0,3100,▲ +11%,"284 forks, 166 commits, 4 open issues, 81 open PRs, no releases (rolling updates) — very active",🟢 Active,Reference only — not a tool; broadest and most directly relevant reference resource in this comparison,"Not installable. The most comprehensive and directly on-topic reference resource assessed for this comparison — spans context compaction, memory, tool/MCP design, and permissions rather than one narrow layer. Surfaces genuine candidate tools not yet in this comparison worth following up on individually: LLMLingua (Microsoft prompt compression, up to 20x), Token Savior (symbol-indexed navigation, 77% token cut), Trellis (progressive spec system replacing bloated CLAUDE.md), OpenViking (ByteDance filesystem-paradigm context DB), engram (Go+SQLite+FTS5 memory, 18 MCP tools), Zep (production memory store). Not acted on in this pass — flagged for future individual assessment."
mem0,https://github.com/mem0ai/mem0,Agent memory persistence,"Universal memory layer for AI agents. Extracts atomic facts from conversations and persists them scoped to user, session, or agent. On next session injects relevant memories — agent knows your preferences and history without re-reading full conversation history. Native .claude-plugin and .cursor-plugin integrations. OpenMemory: free self-hosted Docker path. MCP server. Python + TypeScript SDKs. 277 releases, v1.0.9. arXiv:2504.19413.",No MCP tool name conflicts with existing tools in this comparison. Overlaps supermemory and cognee (all three are agent memory persistence — different power/complexity tradeoff). Do not run all three simultaneously — pick one.,Python + TypeScript,"⚠ Requires LLM API key to extract memories (OpenAI default; supports Claude, Gemini, Groq, Ollama). pip install mem0ai. OpenMemory self-hosted: Docker one-liner (free, no paid tier needed for basic use). Graph features (Mem0g) require $249/mo Pro tier.",Apache-2.0,61000,▲ +8%,"56.5k stars (was 51.4k), $24M funded, weekly releases, known LongMemEval temporal gap",🟢 Hyper-active,Add — largest community of any memory tool; 90% token reduction vs full-context,"Known limitation: 49% LongMemEval on temporal sub-tasks vs 63-91% for Zep/graphiti alternatives. | 51.4k stars, native Claude Code plugin. Benchmarks: +26% accuracy, 91% faster, 90% fewer tokens vs full-context (LOCOMO benchmark). Telemetry: set MEM0_TELEMETRY=false to disable. For self-host without paid tier: run OpenMemory with docker-compose up in the openmemory/ dir."
cognee,https://github.com/topoteretes/cognee,Agent memory persistence,"Knowledge graph memory engine. Four operations: remember, recall, forget, improve. Dual layer: fast session cache + persistent graph with background sync. Claude Code plugin: captures tool calls into session memory via hooks, syncs to graph at session end. cognee-mcp developer rules bootstrap: indexes .cursorrules, .cursor/rules, AGENT.md into developer_rules nodeset — queryable rather than loaded wholesale. MCP server with HTTP/SSE/stdio transports. ~12k stars, v1.1.0-dev.",No MCP tool name conflicts. Overlaps mem0 and supermemory (all agent memory persistence). cognee builds a full knowledge graph; mem0 stores atomic facts; supermemory is SaaS-hosted. Pick one for the memory persistence layer.,Python,"⚠ Requires LLM API key for knowledge graph extraction (OpenAI default; supports Anthropic, Gemini, Groq, Ollama). pip install cognee. Docker for self-hosting. Telemetry on by default — disable via environment variable.",Apache-2.0,28000,▲ +60%,"17.5k stars (was 12k), graduated GitHub Secure Open Source Program, FalkorDB/KuzuDB/Neo4j backends",🟢 Very active,Add — knowledge graph memory with Claude Code plugin + developer rules bootstrap,Graduated GitHub Secure Open Source Program. | Claude Code plugin: /plugin marketplace add topoteretes/cognee or git clone + install.sh. developer rules bootstrap indexes CLAUDE.md equivalents into queryable graph rather than loading wholesale at startup. More powerful than mem0 (graph reasoning) but heavier setup. For simple session memory mem0 is easier.
supermemory,https://github.com/supermemoryai/supermemory,Agent memory persistence,"SaaS-hosted memory API for AI agents. Dedicated Claude Code plugin: injects user profile (preferences, recent activity) at session start; auto-captures conversation turns for future recall. MCP server at mcp.supermemory.ai. Scoped by project container tags. Team Memory across repos. Browser extension. Also plugins for OpenCode, OpenClaw, Hermes. npm install supermemory or pip install supermemory. Personal use free.","No MCP tool name conflicts. Overlaps mem0 and cognee (all agent memory persistence). Supermemory is the simplest path (zero infra, SaaS) but data stored on Supermemory servers. mem0 OpenMemory is the self-hosted alternative.",TypeScript + Python,⚠ SaaS-hosted — memory stored on Supermemory servers (not local). API key required (sm_...). Personal use free; Team Memory requires Pro (paid). npm install supermemory or /plugin marketplace add supermemoryai/claude-supermemory.,Apache-2.0,28000,▲ +977%,"2.6k stars (confirmed stable), 151 forks, active multi-platform ecosystem (Codex, OpenClaw, Cursor plugins)",🟡 Active,Add — simplest path to Claude Code session memory; zero infra,"Simplest of the three memory tools: SaaS, no local infra, one install. /plugin marketplace add supermemoryai/claude-supermemory. Tradeoff: data lives on Supermemory servers. For self-hosted memory use mem0 OpenMemory instead. Team Memory needs paid plan."
graphiti,https://github.com/getzep/graphiti,Cross-session governance & reasoning capture,"Temporal context graph engine. Every fact has a validity window — when it became true and when superseded. Agents can query ""what was true on Tuesday"" not just ""what is true now"". Incremental graph construction (no batch recomputation). Hybrid retrieval: semantic + BM25 + graph traversal. mcp_server/ directory for Claude Code and Cursor integration. 194 releases, v0.29.0 Apr 2026. arXiv:2501.13956. Backends: Neo4j, FalkorDB (Docker), KùzuDB, Amazon Neptune.",No MCP tool name conflicts with existing tools. Overlaps Bitloops and Aura (cross-session governance) but graphiti is more production-grade and specifically optimised for temporal reasoning. Complementary to mem0 (different problem: temporal history vs current facts).,Python,"⚠ Requires graph database backend: Neo4j, FalkorDB (docker run -p 6379:6379 falkordb/falkordb:latest), KùzuDB, or Amazon Neptune. Requires LLM API key (OpenAI default; Anthropic/Gemini/Groq/Ollama supported). pip install graphiti-core. Telemetry opt-out: GRAPHITI_TELEMETRY_ENABLED=false.",Apache-2.0,29000,▲ +14%,"20k+ stars, Apache-2.0, self-hostable but requires Neo4j. LongMemEval temporal: 63.8% vs mem0 49%",🟢 Very active,Watch — powerful but infra-heavy; best for temporal reasoning about evolving facts,"Not zero-config. Best for: architecture decisions that evolve over time, API contracts that change, ""what did we decide about auth and when did that change?"" FalkorDB is the lowest-friction backend (single Docker command). Works best with OpenAI/Gemini structured output; Anthropic supported but less reliable."
obsidian-second-brain,https://github.com/eugeniughelbur/obsidian-second-brain,Personal knowledge retrieval,"Claude Code skill (installed to ~/.claude/skills/) that turns your Obsidian vault into a persistent second brain. 43 commands. /obsidian-architect (v0.10, May 2026): scans your codebase and writes maintained architecture notes into your vault — refreshable, never overwrites your edits. /obsidian-save, /obsidian-research, /obsidian-recall, /sunday weekly review, /log capture. AI-first vault design: machine-readable frontmatter, mandatory wikilinks, recency markers optimised for Claude retrieval. Google Calendar integration. Anti-hallucination guards. 1,000+ stars in 7 weeks.","Overlaps graphthulhu (both Obsidian + Claude Code integration — graphthulhu is MCP server, obsidian-second-brain is Claude Code skill; complementary). /obsidian-architect overlaps codesight/sigmap (all write architecture context — different destination: vault vs CLAUDE.md).",Claude Code skill (no runtime),⚠ No explicit licence (copyright retained by author — all rights reserved). Obsidian vault required. Research features (/obsidian-research) need Grok and/or Perplexity API keys. Vault management commands work without API keys. git clone https://github.com/eugeniughelbur/obsidian-second-brain ~/.claude/skills/obsidian-second-brain && bash install.sh,No licence (all rights reserved),3300,▲ +230%,"0 forks shown, 1000+ stars in 7 weeks, weekly releases, very active solo dev",🟡 Active,Watch — add if you use Obsidian; no licence is commercial blocker,No explicit licence = all rights reserved. Fine for personal use; do not embed in commercial products without author permission. /obsidian-architect is the key context reduction feature: scanned architecture notes replace repeated codebase reads. Pairs with graphthulhu (different integration mechanism: skill vs MCP server).
gitmem,https://github.com/dev-boz/gitmem,Agent memory persistence,"Git-native shared memory for AI coding agents. Memory = markdown files in git repos, synced through GitHub, governed via PRs. Fixes the multi-tool problem: Claude Code + Codex + Copilot + Gemini + OpenCode share the same memory. Encoding strength 1-5 (AST-parsed fact S:4 outranks LLM inference S:2 — hard rule not scoring). Dream pipeline: orient, gather, consolidate, lint, prune on free LLM quota. PR governance: cheap models propose, SotA models review, humans confirm. Provenance tracking. Cognitive science taxonomy (19 references in spec). Zero infrastructure — pure git + markdown.","Overlaps mem0/cognee/supermemory/memoir (all agent memory persistence) but gitmem is unique for multi-tool shared memory across agents and PR-based governance. Note: gitmem-dev/gitmem is a DIFFERENT, more polished MCP server project with working Claude Code integration — worth separate assessment.",Python,"⚠ Dream pipeline requires LLM API key (cheap model for extraction, configurable). Core local-mode works offline. pip install git+https://github.com/dev-boz/gitmem.git. GitHub CLI (gh) required for remote/hybrid mode.",MIT,33,—,"0 forks, 13 commits, alpha release, solo dev — Claude Code capture not yet shipped (in Next roadmap)",🔴 Early,Watch — too early; Claude Code capture not yet shipped,"Claude Code capture is in the ""Next"" roadmap section — not yet implemented. Current capture: Codex and Copilot CLI only. Multi-tool shared memory concept is unique in this comparison. Spec is 250+ pages with 19 cognitive science references. Revisit when Claude Code capture ships. Note: gitmem-dev/gitmem is a different, more mature project worth separate evaluation."
memoir,https://github.com/zhangfengcdt/memoir,Agent memory persistence,"Git-like version control for AI agent memory. Semantic hierarchical paths (profile.professional.skills.python) instead of UUID keys. O(log n) lookups. Branch-aware memory: git checkout to feature branch → agent uses branch-appropriate memories, no experimental patterns bleeding into production. Solves token rent: targeted injection preserves prefix cache vs CLAUDE.md global invalidation. memoir blame/checkout for auditing. Cryptographic integrity. Visual explorer (Tree/Graph/Timeline/Places). Native Claude Code plugin via .claude-plugin/. Hooks for session-start, user-prompt-submit, stop. v0.1.9. 145 commits.",Overlaps mem0/cognee/supermemory/gitmem (all agent memory persistence). memoir is unique for git-like versioning + branch-aware memory + cache-preserving injection. No MCP tool name conflicts with other layers in this comparison.,Python + TypeScript,⚠ Defaults to claude-haiku-4-5 for LLM ops (requires ANTHROPIC_API_KEY; or set MEMOIR_LLM_MODEL for OpenAI/other). pip install memoir-ai or /plugin marketplace add zhangfengcdt/memoir. uv required for zero-config plugin install.,Apache-2.0,593,▲ +29550%,"0 forks, 4 releases, v0.1.9 May 3 2026, 145 commits, 3 issues, solo dev — very active development",🔴 Early,Watch — branch-aware memory and cache-preserving injection are novel; needs community validation,Branch-aware memory is unique in this comparison: git checkout changes which memories are injected. Token rent insight: CLAUDE.md as global store invalidates prefix cache on every update — memoir injects only relevant memories. 2 stars but 145 commits and working Claude Code plugin. /plugin marketplace add zhangfengcdt/memoir for zero-config install.
GrapeRoot (Codex-CLI-Compact),https://github.com/kunal12203/codex-cli-compact,Code navigation,"Dual-graph context engine wrapping AI agent invocations. Run dgc instead of claude. Builds info_graph.json (semantic graph: files, symbols, imports) + chat_action_graph.json (session memory: reads, edits, queries). Pre-loads relevant files per prompt — agent reasons, not explores. Compounding context: each turn cheaper as graph fills in. MCP tools: graph_read, graph_retrieve, graph_neighbors, count_tokens, get_session_stats. Token dashboard at localhost:8899. Cross-session context-store.json. Supports Claude Code, Codex, Cursor, Gemini CLI, OpenCode, Copilot. v3.9.90 (rapid PyPI versioning). Benchmarks: $0.46→$0.27 (41% cheaper), 16.8→10.3 turns, 82.7→87.1 quality across 80+ prompts.",⚠ graph_read/graph_retrieve overlap conceptually with codegraph/codebase-memory-mcp but different MCP tool names — low hard-conflict risk. Running GrapeRoot alongside another code nav MCP is redundant (both pre-load codebase context). Pick one code nav approach.,Python + Shell (launcher),"⚠ Core graph engine (graperoot PyPI package) is PROPRIETARY — launcher is Apache 2.0 but the intelligence that does the actual work is closed-source. Python 3.10+, Node.js 18+, Claude Code or Codex CLI. curl one-liner install. No self-host of full stack possible.",Apache-2.0 (launcher) + Proprietary (graperoot PyPI),930,▲ +19%,"99 forks, 12 open issues, 4 releases, 435 commits, active Discord (296 members) — active development",🟢 Very active,Add — compelling benchmarks; proprietary core is main caveat,"41% cheaper, 39% fewer turns in benchmarks (80+ prompts). Use dgc instead of claude. Proprietary graperoot engine: no source access, no self-host, commercial features planned (graperoot.dev/graperoot-pro). All project data stays local. Pro tier available. Launcher Apache 2.0 is misleading — the core is not open source."
